Fecha,Equipo Local,Marcador,Equipo Visitante,Tarjeta Roja Local,Tarjeta Roja Visitante
22-03-2024,Deportes Tolima,2 - 1,Deportivo Pereira,0,0
28-03-2024,Alianza Petrolera,0 - 2,Deportes Tolima,0,0
05-04-2024,Once Caldas,2 - 1,Deportes Tolima,0,0
11-04-2024,Deportes Tolima,2 - 1,Rionegro Águilas,0,0
15-04-2024,Envigado,0 - 2,Deportes Tolima,0,0
21-04-2024,Deportes Tolima,2 - 1,Patriotas Boyacá,0,0
27-04-2024,Atlético Nacional,3 - 1,Deportes Tolima,0,0
04-05-2024,Santa Fe,1 - 0,Deportes Tolima,0,0
12-05-2024,Deportes Tolima,1 - 1,Once Caldas,0,0
17-05-2024,La Equidad,2 - 3,Deportes Tolima,0,0
22-05-2024,Deportes Tolima,3 - 0,La Equidad,0,0
25-05-2024,Once Caldas,0 - 1,Deportes Tolima,0,0
02-06-2024,Deportes Tolima,1 - 2,Santa Fe,0,0
19-07-2024,Fortaleza CEIF,1 - 1,Deportes Tolima,0,0
23-07-2024,Deportes Tolima,2 - 1,Deportivo Pasto,0,0
02-08-2024,Millonarios,1 - 0,Deportes Tolima,0,0
09-08-2024,Deportes Tolima,5 - 1,La Equidad,0,0
18-08-2024,Jaguares de Córdoba,0 - 2,Deportes Tolima,0,0
24-08-2024,Deportes Tolima,0 - 1,Junior,0,0
31-08-2024,Atlético Bucaramanga,0 - 2,Deportes Tolima,0,0
06-09-2024,Deportes Tolima,1 - 1,Deportivo Cali,0,0
10-09-2024,América de Cali,1 - 0,Deportes Tolima,0,0
13-09-2024,Deportes Tolima,2 - 1,Boyacá Chicó,0,0
